中心局,处理成本
北京,90901.58
天津,78131.3
石家庄,86283.28
唐山,11791.400000000001
廊坊,14800.800000000001
保定,24751.74
太原,41591.3
侯马,18968.32
呼和浩特,30567.56
包头,6259.06
沈阳,60130.8
大连,12878.1
锦州,12868.44
长春,40972.9
哈尔滨,56189.280000000006
上海,97975.20000000001
南京,115516.12000000001
常州,52238.32
无锡,52111.86
苏州,65759.94
徐州,100254.48000000001
连云港,14839.0
淮安,10639.960000000001
盐城,15804.18
扬州,18992.960000000003
南通,41760.58
杭州,111824.54000000001
湖州,19449.2
嘉兴,22734.72
宁波,50708.12
台州,35017.94
金华,129149.54000000001
义乌,101807.64
温州,39379.56
合肥,120200.14000000001
蚌埠,46927.68
芜湖,25128.7
安庆,37740.72
福州,68402.74
厦门,57586.8
泉州,50172.32000000001
南昌,83140.18000000001
鹰潭,13528.640000000001
赣州,21327.9
济南,158034.52000000002
潍坊,19446.84
烟台,18427.760000000002
青岛,41266.3
济宁,20504.0
临沂,18044.96
郑州,192801.88
漯河,35193.600000000006
信阳,33416.62
洛阳,35293.2
武汉,161888.04
荆州,8523.44
襄阳,16825.160000000003
长沙,141215.18
常德,13806.140000000001
衡阳,30612.440000000002
广州,216609.0
汕头,31031.18
深圳,48505.4
东莞,43441.18
湛江,20244.7
中山,43871.08
南宁,70215.16
柳州,17164.54
海口,18048.0
重庆,80017.48000000001
成都,98401.66
南充,18289.54
内江,4656.4800000000005
贵阳,48601.58
昆明,47705.200000000004
大理州,10202.28
拉萨,4048.44
西安,141378.6
宝鸡,10231.720000000001
兰州,38453.46
西宁,8591.02
银川,13693.6
乌鲁木齐,22295.800000000003
阿克苏,5905.5
喀什,1332.14
